# 命运占卜 App - 团队决策日志

## 决策记录
| 时间 | 决策项 | 决策结果 | 理由 | 提出者 |
|------|--------|---------|------|--------|
| 2026-04-15 00:30 | 采用多Agent协同开发模式 | PM + GUI + Dev 三角协作 | 项目从0到1需产品/设计/开发分离，保证质量 | Orchestrator |
| 2026-04-15 00:45 | 多平台策略确定 | 初期Web版 → 后续适配iOS/macOS/移动端/桌面端 | 核心是交互逻辑与业务逻辑，UI按平台适配 | 用户决策 |
| 2026-04-15 00:45 | 每步用户审核机制生效 | 所有阶段必须用户批准后才进入下一阶段 | 已写入PROTOCOL.md，严禁跳过 | Orchestrator |
| 2026-04-15 00:46 | MVP测算引擎决策 | **仅做周易六爻**作为首个测算功能 | 六爻64卦制式化、起卦逻辑明确、开发量可控；八字/塔罗/星盘后续迭代 | 用户决策 |
| 2026-04-15 00:48 | 平台策略确认 | **MVP做Web版**（非小程序），后续跨端适配iOS/macOS等 | 核心是交互+业务逻辑复用 | 用户确认 |
| 2026-04-15 00:48 | 导航结构确认 | 「关于我们」→「我的」（个人中心） | Web版对应导航栏调整 | 用户确认 |
| 2026-04-15 00:48 | 登录功能砍掉 | MVP不做用户登录系统 | 先把产品本身做出来，验证核心价值后再加用户体系 | 用户决策 |
| 2026-04-15 00:48 | 交付方式变更 | PM必须产出**可交互的HTML Demo**（非文档） | 用户要实际点击操作来确认交互流程与方式；设计感优先；Demo通过后GUI再介入细化 | 用户要求 |
| 2026-04-15 00:30 | UI框架选择TDesign Miniprogram | 使用腾讯官方组件库 | 企业级、60+组件、与小程序生态完美契合 | Orchestrator |
